FT_TIPO,FT_CODIGOPRODUCTO,FT_CODIGODEPOSITO,FT_LOTE,FT_LOTEAUTOINCREMENT,FT_NOLINEA,FT_STATUS,FT_PUESTO,FT_EXISTENCIA,FT_EXISTENCIADETALLADA,FT_EXISTENCIAAPARTADA,FT_EXISTENCIAORDENCOMPRA,FT_EXISTENCIAPEDIDO,FT_INVENTARIOINICIALBS,FT_INVENTARIOINICIALUND,FT_CTDTRANSITO,FT_VISIBLE,FT_CODEBARRA,FT_EXISTENCIAAJUSTE,BASE_AUTOINCREMENT,FT_CODE,FT_INVENTARIOINICIALCIERRE,FT_INVENTARIOINICIALBSCIERRE
4,24431-23500,1,,0,,,,"0,0",,,,,"0,0","28,0",,True,10419,,10419,,"0,0","0,0"
4,24431-23500-AN,1,,0,,,,"0,0",,,,,"0,0","180,0",,True,12757,,12757,,"0,0","0,0"
4,24431-23500-HY,1,,0,,,,"0,0",,,,,"306,84000000000003","6,0",,True,14569,,14569,,"0,0","0,0"
4,24431-23500-SEO,1,,0,,,,"0,0",,,,,"0,0","10,0",,True,13770,,13770,,"0,0","0,0"
4,24431-26000,1,,0,,,,"0,0",,,,,"0,0","4,0",,True,14158,,14158,,"0,0","0,0"
4,24431-26000-AN,1,,0,,,,"0,0",,,,,"0,0","35,0",,True,14813,,14813,,"0,0","0,0"
4,24431-26000-CAP,1,,0,,,,"0,0",,,,,"0,0","13,0",,True,14438,,14438,,"0,0","0,0"
4,24431-26000-HY,1,,0,,,,"0,0",,,,,"0,0","69,0",,True,11272,,11272,,"1,0","0,0"
4,24431-26000-HYU,1,,0,,,,"148,0",,,,,"8745,0","150,0",,True,15990,,15990,,"150,0","8745,0"
4,24431-26000-MO,1,,0,,,,"0,0",,,,,"0,0","5,0",,True,13865,,13865,,"0,0","0,0"
4,24431-37100,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,9175,,9175,,"0,0","0,0"
4,24431-37100-HY,1,,0,,,,"1,0",,,,,"0,0","3,0",,True,14568,,14568,,"1,0","0,0"
4,24432-37100-HY,1,,0,,,,"0,0",,,,,"3573,12","8,0",,True,14567,,14567,,"0,0","0,0"
4,24447223,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,8990,,8990,,"0,0","0,0"
4,24447223-GM,1,,0,,,,"9,0",,,,,"0,0","11,0",,True,12343,,12343,,"9,0","0,0"
4,24450-33010-KO,1,,0,,,,"0,0",,,,,"0,0","17,0",,True,11871,,11871,,"0,0","0,0"
4,24450-37120-VA,1,,0,,,,"0,0",,,,,"0,0","21,0",,True,13174,,13174,,"0,0","0,0"
4,24450-37150,1,,0,,,,"0,0",,,,,"0,1","2,0",,True,9659,,9659,,"0,0","0,0"
4,24451895,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,10912,,10912,,"0,0","0,0"
4,24451895-NPC,1,,0,,,,"5,0",,,,,"4228,92","9,0",,True,12124,,12124,,"5,0","2349,4"
4,24511-22010,1,,0,,,,"1,0",,,,,"0,0","10,0",,True,8478,,8478,,"1,0","0,0"
4,24511-22010RE,1,,0,,,,"0,0",,,,,"0,0","17,0",,True,9062,,9062,,"0,0","0,0"
4,24521-22010-MOSS,1,,0,,,,"0,0",,,,,"4211,64","6,0",,True,14321,,14321,,"0,0","0,0"
4,24521-22010-SEO,1,,0,,,,"0,0",,,,,"0,0","30,0",,True,11332,,11332,,"0,0","0,0"
4,24551-02200-AN,1,,0,,,,"18,0",,,,,"0,0","18,0",,True,14831,,14831,,"18,0","0,0"
4,24551-02200-NG,1,,0,,,,"2,0",,,,,"0,0","35,0",,True,12845,,12845,,"2,0","0,0"
4,24551-02200-OEM,1,,0,,,,"7,0",,,,,"0,0","7,0",,True,11904,,11904,,"7,0","0,0"
4,24551-02500,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9907,,9907,,"0,0","0,0"
4,24551-02500-NA,1,,0,,,,"1,0",,,,,"0,0","3,0",,True,11916,,11916,,"1,0","0,0"
4,24551-22020,1,,0,,,,"0,0",,,,,"0,0","12,0",,True,10919,,10919,,"0,0","0,0"
4,24551-22020-AN,1,,0,,,,"0,0",,,,,"0,0","5,0",,True,14830,,14830,,"0,0","0,0"
4,24551-22020-CAP,1,,0,,,,"19,0",,,,,"4135,2","20,0",,True,14418,,14418,,"19,0","3928,4399999999996"
4,24551-22020-KP,1,,0,,,,"15,0",,,,,"2448,75","15,0",,True,16019,,16019,,"15,0","2448,75"
4,24551-22020-NPC,1,,0,,,,"0,0",,,,,"0,0","119,0",,True,11950,,11950,,"0,0","0,0"
4,24551-22020RE,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,8361,,8361,,"0,0","0,0"
4,24552-02500,1,,0,,,,"0,0",,,,,"0,0","15,0",,True,8370,,8370,,"0,0","0,0"
4,24552-22020-AN,1,,0,,,,"6,0",,,,,"0,0","8,0",,True,14833,,14833,,"7,0","0,0"
4,24552-22020-CAP,1,,0,,,,"6,0",,,,,"0,0","6,0",,True,14419,,14419,,"6,0","0,0"
4,24552-22020-NPC,1,,0,,,,"0,0",,,,,"0,0","49,0",,True,11947,,11947,,"0,0","0,0"
4,24610-22010-HY,1,,0,,,,"50,0",,,,,"9021,66","106,0",,True,12304,,12304,,"51,0","4340,61"
4,24610-22010-NA,1,,0,,,,"43,0",,,,,"3872,58","43,0",,True,15620,,15620,,"43,0","3872,58"
4,24610-22010-NG,1,,0,,,,"0,0",,,,,"0,0","222,0",,True,12808,,12808,,"0,0","0,0"
4,24610-22010RE,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10848,,10848,,"0,0","0,0"
4,24610-22020,1,,0,,,,"0,0",,,,,"0,0","44,0",,True,9641,,9641,,"0,0","0,0"
4,24610-22600,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10462,,10462,,"0,0","0,0"
4,24610-22600-S,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10497,,10497,,"0,0","0,0"
4,24610-32824-KO,1,,0,,,,"0,0",,,,,"0,0","110,0",,True,14120,,14120,,"0,0","0,0"
4,24610-32824-NP,1,,0,,,,"0,0",,,,,"0,0","138,0",,True,11429,,11429,,"0,0","0,0"
4,24810-23011-GMB,1,,0,,,,"0,0",,,,,"0,0","33,0",,True,10869,,10869,,"0,0","0,0"
4,24810-23011-IC,1,,0,,,,"0,0",,,,,"0,0","41,0",,True,12598,,12598,,"0,0","0,0"
4,24810-23011-VALE,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10498,,10498,,"0,0","0,0"
4,24810-23050,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9394,,9394,,"0,0","0,0"
4,24810-23050-DK,1,,0,,,,"2,0",,,,,,,,True,16293,,16293,,,
4,24810-23050-HY,1,,0,,,,"0,0",,,,,"0,0","5,0",,True,11275,,11275,,"0,0","0,0"
4,24810-23050-MHW,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,16099,,16099,,"0,0","0,0"
4,24810-23400,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10240,,10240,,"0,0","0,0"
4,24810-26010,1,,0,,,,"0,0",,,,,"0,0","13,0",,True,11097,,11097,,"0,0","0,0"
4,24810-26010-GMB,1,,0,,,,"0,0",,,,,"0,0","28,0",,True,13304,,13304,,"0,0","0,0"
4,24810-26020,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10239,,10239,,"0,0","0,0"
4,24810-33024-SA,1,,0,,,,"0,0",,,,,"0,0","18,0",,True,12796,,12796,,"0,0","0,0"
4,24810-37100,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10499,,10499,,"0,0","0,0"
4,24810-37100-GMB,1,,0,,,,"0,0",,,,,"0,0","11,0",,True,13305,,13305,,"0,0","0,0"
4,24810-37100-HY,1,,0,,,,"0,0",,,,,"0,0","4,0",,True,14296,,14296,,"0,0","0,0"
4,24810-37120,1,,0,,,,"0,0",,,,,"0,0","8,0",,True,11128,,11128,,"0,0","0,0"
4,24810-37120RE,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9399,,9399,,"0,0","0,0"
4,24810-38001,1,,0,,,,"0,0",,,,,"0,0","6,0",,True,11092,,11092,,"0,0","0,0"
4,24810-38001-IC,1,,0,,,,"0,0",,,,,"0,0","30,0",,True,12600,,12600,,"0,0","0,0"
4,24840-23011-IC,1,,0,,,,"0,0",,,,,"0,0","16,0",,True,11458,,11458,,"0,0","0,0"
4,24840-3E500-HY,1,,0,,,,"1,0",,,,,"0,0","1,0",,True,14761,,14761,,"1,0","0,0"
4,25100-02512-DK,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,15911,,15911,,"0,0","0,0"
4,25100-02512-NA,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,15439,,15439,,"0,0","0,0"
4,25100-02566,1,,0,,,,"0,0",,,,,"0,0","4,0",,True,10976,,10976,,"0,0","0,0"
4,25100-02566-HY,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,14907,,14907,,"0,0","0,0"
4,25100-02566-MH,1,,0,,,,"0,0",,,,,"0,0","4,0",,True,13049,,13049,,"0,0","0,0"
4,25100-02566-MO,1,,0,,,,"0,0",,,,,"0,0","4,0",,True,13705,,13705,,"0,0","0,0"
4,25100-21000,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,10890,,10890,,"0,0","0,0"
4,25100-21000-CAP,1,,0,,,,"0,0",,,,,"1009,98","2,0",,True,14641,,14641,,"0,0","0,0"
4,25100-21000-FI,1,,0,,,,"0,0",,,,,"1722,12","3,0",,True,13543,,13543,,"0,0","0,0"
4,25100-21000-HY,1,,0,,,,"5,0",,,,,"0,0","6,0",,True,11534,,11534,,"0,0","0,0"
4,25100-21000-IRP,1,,0,,,,"0,0",,,,,"0,0","3,0",,True,12158,,12158,,"0,0","0,0"
4,25100-22010-AN,1,,0,,,,"0,0",,,,,"0,0","29,0",,True,12570,,12570,,"0,0","0,0"
4,25100-23001,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,10711,,10711,,"0,0","0,0"
4,25100-23001-MO,1,,0,,,,"0,0",,,,,"0,0","5,0",,True,13683,,13683,,"0,0","0,0"
4,25100-23002-CAP,1,,0,,,,"2,0",,,,,"863,22","2,0",,True,16189,,16189,,"2,0","863,22"
4,25100-23010,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,8426,,8426,,"0,0","0,0"
4,25100-23010-1,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10351,,10351,,"0,0","0,0"
4,25100-23010-HY,1,,0,,,,"0,0",,,,,"0,0","26,0",,True,11555,,11555,,"0,0","0,0"
4,25100-23022-AP,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,13422,,13422,,"0,0","0,0"
4,25100-23530,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,9959,,9959,,"0,0","0,0"
4,25100-23530-NA,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,15600,,15600,,"0,0","0,0"
4,25100-26015-AN,1,,0,,,,"0,0",,,,,"0,0","26,0",,True,12536,,12536,,"0,0","0,0"
4,25100-26015-NA,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,15599,,15599,,"0,0","0,0"
4,25100-26015-NPC,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,15496,,15496,,"0,0","0,0"
4,25100-26901RE,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9830,,9830,,"0,0","0,0"
4,25100-26902,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,8427,,8427,,"0,0","0,0"
4,25100-26902-CAP,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,14642,,14642,,"0,0","0,0"
4,25100-26902-DK,1,,0,,,,"0,0",,,,,"0,0","4,0",,True,11602,,11602,,"0,0","0,0"
4,25100-26902-HY,1,,0,,,,"0,0",,,,,"5254,6","10,0",,True,12477,,12477,,"0,0","0,0"
4,25100-26902RE,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,11167,,11167,,"0,0","0,0"
4,25100-2X200,1,,0,,,,"0,0",,,,,"0,0","3,0",,True,10077,,10077,,"0,0","0,0"
4,25100-37201-SE,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,15295,,15295,,"0,0","0,0"
4,25100-37202,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10079,,10079,,"0,0","0,0"
4,25100-37202-KO,1,,0,,,,"1,0",,,,,"5234,049999999999","5,0",,True,13306,,13306,,"1,0","1046,81"
4,25100-37202-TO,1,,0,,,,"0,0",,,,,"0,0","10,0",,True,13307,,13307,,"0,0","0,0"
4,25100-37202RE,1,,0,,,,"0,0",,,,,"0,0","4,0",,True,10078,,10078,,"0,0","0,0"
4,25100-3E001,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,8435,,8435,,"0,0","0,0"
4,25100-3E001-KO,1,,0,,,,"0,0",,,,,"0,0","8,0",,True,11397,,11397,,"0,0","0,0"
4,25100-3E001-MH,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,15165,,15165,,"0,0","0,0"
