FI_CODIGO,FI_DESCRIPCION,FI_CATEGORIA,FI_DESCRIPCIONDETALLADA,FI_VENDEDOR,FI_STATUS,FI_UNIDAD,FI_TIPOCODIGOBARRA,FI_IMAGEN,FI_SUSTITUTO1,FI_SUSTITUTO2,FI_SUSTITUTO3,FI_REFERENCIA,FI_MARCA,FI_MONEDA,FI_FACTORCONVERSION,FI_UNDEXISTENCIA2,FI_PUESTO,FI_SUJETOACOMISION,FI_MONTOCOMISION,FI_CUENTASCONTABLES,FI_PESOPRODUCTO,FI_DIASDEREPOSICION,FI_PRESENTACION,FI_GARANTIA,FI_SUSTITUTO4,FI_SUSTITUTO5,FI_MONTOCOMISIONP,FI_DEPOSITOS,FI_OFERTAS,FI_VENCIMIENTOS,FI_CLASIFICACION,FI_MANEJOINVENTARIO,FI_SERIALES,FI_CREACION,FI_INVENTARIOINICIALUNIDADES,FI_INVENTARIOINICIALCOSTO,FI_CAPACIDAD,FI_EXISTDECIMAL,FI_COMPUESTOSERIALES,FI_VENDEDORFIJO,FI_VENDEDORFIJOACTIVO,FI_MODELO,FI_SUBCATEGORIA,FI_PESOAFECTACOSTO,FI_IMPRESORA,BASE_AUTOINCREMENT,FI_ZEXTRA1,FI_ZEXTRA2,FI_ZEXTRA3,FI_ZEXTRA4,FI_ZEXTRA5,FI_ZEXTRA6,FI_ZEXTRA1VENTA,FI_ZEXTRA2VENTA,FI_ZEXTRA3VENTA,FI_ZEXTRA4VENTA,FI_ZEXTRA5VENTA,FI_ZEXTRA6VENTA,FI_ZEXTRA1VENTAMOD,FI_ZEXTRA2VENTAMOD,FI_ZEXTRA3VENTAMOD,FI_ZEXTRA4VENTAMOD,FI_ZEXTRA5VENTAMOD,FI_ZEXTRA6VENTAMOD,FI_INTERNET,FI_BALANZA,FI_CODIGOBARRA,FI_PRECIOLISTA,FI_APROVECHAPORC,FI_ARANCEL,FI_POSENTREGA
0404,FUSIBLE MEDIO 5 AMP,346, ,,True,UNIVERSAL,,,,,,´YA,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,"0,0","0,0",False,False,008,False,7-C,NACIONAL,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
0406,FORMULA MECANICA SQ 354ML,253, ,,True,,,,,,,´YA,SQ,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,"0,0","0,0",False,False,001,False,24-B,NACIONAL,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
0428,FUSIBLE MAXI 50 AMP,346, ,,True,UNIVERSAL,,,,,,´,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,"0,0","0,0",False,False,008,False,7-B,NACIONAL,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
04311-17030,KIT BOMBA CLUTCH SUP ACCENT,2,,,True,,,,,,,YA,KTP KOREA,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,001,False,25-D,NACIONAL,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
0439,FUSIBLE MAXI 80 AMP,346, ,,True,UNIVERSAL,,,,,,´,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,"0,0","0,0",False,False,008,False,7-B,NACIONAL,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
0440,FUSIBLE MACHO 80 AMP,346,,,True,UNIVERSAL,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,008,False,7-B,NACIONAL,,,1208,,,,,,,,,,,,,,,,,,,,,,,,,
0441,FUSIBLE MAXI 30 AMP,346, ,,True,UNIVERSAL,,,,,,´,,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,"0,0","0,0",False,False,008,False,7-B,NACIONAL,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
0442,FUSIBLE MAXI 40 AMP,346, ,,True,UNIVERSAL,,,,,,´,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,"0,0","0,0",False,False,008,False,7-B,NACIONAL,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
0446,FUSIBLE MAXI 100 AMP,346, ,,True,UNIVERSAL,,,,,,´,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,"0,0","0,0",False,False,008,False,7-B,NACIONAL,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
0448,FUSIBLE MAXI 60 AMP,346, ,,True,UNIVERSAL,,,,,,´,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,"0,0","0,0",False,False,008,False,7-B,NACIONAL,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
0462,FUSIBLE HEMBRA 70 AMP,346, ,,True,0462,,,,,,´,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,"0,0","0,0",False,False,008,False,7-B,NACIONAL,,,22,,,,,,,,,,,,,,,,,,,,,,,,,
0463,FUSIBLE HEMBRA 60 AMP,346, ,,True,,,,,,,´,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,"0,0","0,0",False,False,008,False,7-B,NACIONAL,,,23,,,,,,,,,,,,,,,,,,,,,,,,,
0470-,LIMPIA TAPICERIA VELOUR,1, ,,True,,,,,,,´YA,VELOUR,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,"0,0","0,0",False,False,001,False,G40-C,NACIONAL,,,26,,,,,,,,,,,,,,,,,,,,,,,,,
0475-,"EMBLEMA LETRA ""ATOS"" - NACIONAL",306,,,True,,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,001,False,1-E + EXC,NACIONAL,,,2935,,,,,,,,,,,,,,,,,,,,,,,,,
0482RE,"EMBLEMA LETRA ""MONTERO"" - NACIONAL",3,,,True,,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,001,False,1-E + EXC,NACIONAL,,,2652,,,,,,,,,,,,,,,,,,,,,,,,,
048816-CN,FILTRO AIRE CORSA/CHEVY C2 - CNBF,528,,,True,CHEVROLET,,,,,,,CNBF,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,13-A,NACIONAL,,,7852,,,,,,,,,,,,,,,,,,,,,,,,,
049065-AL,BOMBILLO H4 12V 60/55W - AUTO LAMP,528,,,True,,,,,,,,AUTO LAMP,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,7-A,NACIONAL,,,7844,,,,,,,,,,,,,,,,,,,,,,,,,
0503,EMBLEMA MITSUBISHI TREBOL MEDIANO ROJO,1,,,True,,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,001,False,1-E + EXC,NACIONAL,,,2653,,,,,,,,,,,,,,,,,,,,,,,,,
0504,EMBLEMA MITSUBISHI TREBOL MEDIANO PLATA,1,,,True,,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,001,False,1-E + EXC,NACIONAL,,,2654,,,,,,,,,,,,,,,,,,,,,,,,,
0553,FLASHER ELECTRICO 3P 550 12V TRIDON HD13,1, ,,True,,,,,,,´YA,,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,,"0,0","0,0",False,False,001,False,1-C + EXC,NACIONAL,,,33,,,,,,,,,,,,,,,,,,,,,,,,,
055850-DK,"CEPILLO BOOMERANG 20"" - DKIG",540,,,True,UNIVERSAL,,,,,,,DKIG,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,008,False,P/C ATRAS,NACIONAL,,,13988,,,,,,,,,,,,,,,,,,,,,,,,,
0615012,LLAVERO CHEVROLET,4,,,True,,,,,,,,ZEGA,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,EXH,NACIONAL,,,4136,,,,,,,,,,,,,,,,,,,,,,,,,
0615018,LLAVERO HYUNDAI,2,,,True,,,,,,,,ZEGA,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,001,False,G30-D+EXH,NACIONAL,,,3493,,,,,,,,,,,,,,,,,,,,,,,,,
0615020,LLAVERO KIA,305,,,True,,,,,,,,ZEGA,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,G30-D+EXC,NACIONAL,,,4941,,,,,,,,,,,,,,,,,,,,,,,,,
0615022,LLAVERO MITSUBISHI,3,,,True,,,,,,,,ZEGA,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,G30-D+EXH,NACIONAL,,,4090,,,,,,,,,,,,,,,,,,,,,,,,,
0799224,GOMA LACA 59ML - VISBELLA,518,,,True,UNIVERSAL,,,,,,,VISBELLA,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,EXHIBICION,NACIONAL,,,8955,,,,,,,,,,,,,,,,,,,,,,,,,
08-06-SD-3004,GEMELO TRS ELANTRA XD-COUPE - KOTAI,69,,,True,,,,,,,,KOTAI,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,003,False,18-B,NACIONAL,,,4257,,,,,,,,,,,,,,,,,,,,,,,,,
0986AG2033,SENSOR OXIGENO TUCSON BOSCH,498,,,True,,,,,,,,BOSCH,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,20-H,NACIONAL,,,4163,,,,,,,,,,,,,,,,,,,,,,,,,
0995-KO,FILTRO GASOLINA MODEN (CUADRADO) - KOREA,525,,,True,UNIVERSAL,,,,,,,KOREANO,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,008,False,11-C,CHINA,,,10837,,,,,,,,,,,,,,,,,,,,,,,,,
0K011-11312,ESTOPERA TRS CIG PREGIO 3.0 - KIA,1,,,True,,,,,,,,KIA,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,003,False,21-D (7),NACIONAL,,,6322,,,,,,,,,,,,,,,,,,,,,,,,,
0K2C0-15-171A,TERMOSTATO EXCEL / RIO 1.5 / CARENS ATO,346,,,True,,,,,,,,ATO,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,1-F,NACIONAL,,,4999,,,,,,,,,,,,,,,,,,,,,,,,,
0K30A-15185C,MANGUERA INF RIO 1.5,306,,,True,,,,,,,,KOSYN,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,27-B,NACIONAL,,,4987,,,,,,,,,,,,,,,,,,,,,,,,,
0K30E-10235,EMP TAPA VALVULA RIO 1.5 M/VIEJO 00/04,64,,,True,UNIVERSAL,,,,,,,KOREA,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,1-D,NACIONAL,,,4957,,,,,,,,,,,,,,,,,,,,,,,,,
0K30E-12205,CORREA TIEMPO RIO STYLUS 1.5 ) - GATES,507,,,True,UNIVERSAL,,,,,,,GATES,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,16-E (137D),PANAMA,,,5199,,,,,,,,,,,,,,,,,,,,,,,,,
0K30E-13111,EMP ADM RIO STYLUS 1.5 - KOREANA,96,,,True,UNIVERSAL,,,,,,,OEM,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,2-A,NACIONAL,,,4956,,,,,,,,,,,,,,,,,,,,,,,,,
0K3Y0-11-SE0-STD,CONCHA BIELA STD RIO 1.3-1.5 - MOBIS,5,,,True,,,,,,,,MOBIS,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,13-G,NACIONAL,,,5011,,,,,,,,,,,,,,,,,,,,,,,,,
0K3Y0-11-SF0-FO,CONCHA BIELA 0.10 RIO 1.3-1.5 - FORD PAR,110,,,True,,,,,,,,FORD PARTS,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,6-B,NACIONAL,,,7983,,,,,,,,,,,,,,,,,,,,,,,,,
0K3Y0-11-SFX-020,CONCHA BIELA 0.20 RIO 1.3-1.5 - MOBIS,5,,,True,,,,,,,,MOBIS,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,13-G,NACIONAL,,,5013,,,,,,,,,,,,,,,,,,,,,,,,,
